Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1961,BiocapTotGHA,66170506.5626438,0,1266449175.53349,1108952346.4718,5787272474.8535,1526440560.16796,9755285063.5894,3A,null
World,º World,1961,EFConsTotGHA,66170506.5626438,3126635733.17361,1266449175.53349,351582484.20236,1358634841.60374,839643133.30301,7009115874.37885,3A,null
World,º World,1962,BiocapTotGHA,70700590.8462806,0,1312597798.79946,1107697460.90234,5781791484.84452,1527770145.34007,9800557480.73268,3A,null
World,º World,1962,EFConsTotGHA,70700590.8462806,3151239772.32353,1312597798.79946,363424129.343431,1369872034.06345,843700601.4594269,7111534926.835577,3A,null
World,º World,1963,BiocapTotGHA,73238990.9625589,0,1324305095.69223,1107023130.8788,5770873028.45201,1528278085.86861,9803718331.8542,3A,null
World,º World,1963,EFConsTotGHA,73238990.9625589,3097550809.65015,1324305095.69223,384702161.484693,1383666151.00003,863321714.7913847,7126784923.581055,3A,null
World,º World,1964,BiocapTotGHA,78040790.017754,0,1361703628.44827,1105841941.78984,5770074312.74396,1529715841.14553,9845376514.14535,3A,null
World,º World,1964,EFConsTotGHA,78040790.017754,3126226713.03679,1361703628.44827,366945873.578257,1433762657.63795,865298531.5653971,7231978194.284417,3A,null
World,º World,1965,BiocapTotGHA,80046333.1303466,0,1381960848.12945,1104346636.77932,5766890425.62567,1532358426.64979,9865602670.31457,3A,null
World,º World,1965,EFConsTotGHA,80046333.1303466,3193576580.79407,1381960848.12945,394277465.434178,1450302978.94263,888016900.5610073,7388181106.991677,3A,null
World,º World,1966,BiocapTotGHA,86031911.9738833,0,1458304702.55105,1101465204.26745,5767804143.14797,1532059613.22027,9945665575.16063,3A,null
World,º World,1966,EFConsTotGHA,86031911.9738833,3539673954.97792,1458304702.55105,420028542.408142,1473850608.37225,881450631.4415482,7859340351.724788,3A,null
World,º World,1967,BiocapTotGHA,90436002.3788629,0,1486993208.77131,1100411930.29335,5767680106.68957,1535279723.69206,9980800971.82515,3A,null
World,º World,1967,EFConsTotGHA,90436002.3788629,4033275363.02974,1486993208.77131,459201567.881638,1496751314.07802,901380274.8243335,8468037730.963903,3A,null
World,º World,1968,BiocapTotGHA,94296976.58936,0,1542126186.81389,1097771578.17389,5755336128.40373,1542511547.41804,10032042417.3989,3A,null
World,º World,1968,EFConsTotGHA,94296976.58936,4198325267.0703,1542126186.81389,495791913.235128,1513723984.40695,902595014.2722044,8746859342.387835,3A,null
World,º World,1969,BiocapTotGHA,96175521.7955732,0,1555366880.87176,1099028592.81945,5738678524.57665,1543943967.90666,10033193487.9701,3A,null
World,º World,1969,EFConsTotGHA,96175521.7955732,4415506850.73775,1555366880.87176,488218319.244744,1531891179.86474,904816811.3932009,8991975563.90776,3A,null
World,º World,1970,BiocapTotGHA,101391569.814053,0,1605138650.7946,1098832649.40606,5729959797.30072,1539176360.29761,10074499027.613,3A,null
World,º World,1970,EFConsTotGHA,101391569.814053,5275263764.99655,1605138650.7946,482143330.477074,1567610528.38692,901221140.8078307,9932768985.277021,3A,null
World,º World,1971,BiocapTotGHA,108684574.295828,0,1656997694.56328,1094981504.2248,5728634390.34525,1542243020.2912,10131541183.7204,3A,null
World,º World,1971,EFConsTotGHA,108684574.295828,5446106804.99074,1656997694.56328,468301195.654391,1589260411.57888,920090707.5918946,10189441388.674994,3A,null
World,º World,1972,BiocapTotGHA,106826516.867678,0,1622125629.72192,1093833340.06553,5720673272.82667,1545731413.91436,10089190173.3962,3A,null
World,º World,1972,EFConsTotGHA,106826516.867678,5291309318.70522,1622125629.72192,488508073.836163,1590307687.06525,942116070.8476527,10041193297.043892,3A,null
World,º World,1973,BiocapTotGHA,118217209.225955,0,1715692985.92387,1094517789.64991,5716328648.43151,1551397618.70759,10196154251.9388,3A,null
World,º World,1973,EFConsTotGHA,118217209.225955,5961948955.9979,1715692985.92387,512713907.06844,1643441064.87779,934496018.9630778,10886510142.056988,3A,null
World,º World,1974,BiocapTotGHA,117850516.180402,0,1677704958.21534,1091523410.6283,5709873222.18707,1552641636.41981,10149593743.6309,3A,null
